expectancy,value,impulsiveness,delay,time_of_day_hour,day_of_week,session_duration_minutes,time_since_last_break_minutes,recent_procrastination_count,intervention_type,accepted,motivation_delta
0.77,0.77,0.11,0.39,11,4,35.6,5.4,0,two_minute_rule,0,-0.01
0.67,0.23,0.59,0.62,10,5,35.9,11.5,2,break,1,-0.0
0.78,0.84,0.43,0.22,14,6,85.9,46.7,0,notification,1,-0.05
0.58,0.86,0.52,0.12,18,4,68.7,35.2,0,breathing,0,-0.04
0.49,0.45,0.16,0.24,9,3,35.9,14.2,0,two_minute_rule,1,0.02
0.52,0.46,0.22,0.6,11,3,80.1,26.0,0,breathing,1,0.08
0.74,0.5,0.42,0.76,12,2,115.7,55.7,0,pomodoro,1,0.06
0.69,0.8,0.44,0.11,15,3,60.5,39.4,0,notification,1,0.07
0.35,0.3,0.4,0.61,12,5,55.4,21.0,0,reframing,1,0.23
0.73,0.55,0.44,0.36,15,1,80.3,44.9,5,pomodoro,1,-0.02
0.76,0.92,0.39,0.79,15,6,41.2,13.1,0,notification,0,-0.1
0.58,0.72,0.28,0.23,14,3,115.8,62.3,0,reframing,1,0.05
0.73,0.6,0.25,0.68,15,5,13.6,0.3,0,two_minute_rule,1,0.0
0.46,0.61,0.24,0.16,13,6,63.7,17.3,0,break,1,0.0
0.38,0.61,0.06,0.13,11,5,92.9,82.3,6,reframing,0,-0.08
0.84,0.28,0.47,0.56,18,2,104.4,18.4,0,reframing,1,0.19
0.66,0.91,0.43,0.66,17,6,84.0,35.3,2,reframing,1,-0.04
0.78,0.62,0.26,0.16,13,0,101.8,23.1,0,break,0,-0.03
0.73,0.76,0.45,0.18,19,5,21.5,10.2,1,two_minute_rule,1,0.01
0.72,0.87,0.35,0.35,17,5,84.0,6.5,0,notification,0,-0.07
0.38,0.84,0.66,0.23,13,1,67.9,23.9,0,notification,1,-0.05
0.87,0.85,0.19,0.33,13,3,70.7,34.0,4,notification,1,0.02
0.6,0.71,0.19,0.19,15,2,20.1,4.7,0,pomodoro,1,-0.02
0.33,0.63,0.01,0.29,16,6,72.2,47.1,2,break,0,-0.09
0.81,0.55,0.17,0.63,8,5,117.4,68.7,0,notification,1,-0.03
0.44,0.72,0.2,0.23,8,4,83.3,54.9,0,breathing,1,0.09
0.38,0.97,0.34,0.38,9,5,69.2,48.5,0,pomodoro,1,0.03
0.45,0.54,0.19,0.14,18,6,77.4,37.5,1,pomodoro,0,-0.08
0.37,0.72,0.16,0.32,16,6,60.1,54.2,1,pomodoro,1,0.04
0.8,0.73,0.3,0.77,14,2,98.5,97.9,0,pomodoro,1,-0.04
0.53,0.69,0.5,0.76,12,3,19.2,15.5,1,notification,1,0.01
0.36,0.44,0.28,0.11,19,6,68.6,37.5,0,notification,1,0.09
0.37,0.64,0.09,0.38,15,6,14.5,9.6,0,breathing,1,0.06
0.71,0.86,0.21,0.16,19,3,109.7,91.8,0,notification,1,-0.03
0.58,0.81,0.37,0.67,11,5,25.2,10.7,1,breathing,1,0.09
0.67,0.89,0.18,0.73,19,1,66.0,62.6,3,break,1,0.33
0.63,0.7,0.2,0.77,11,3,10.5,7.6,0,break,1,0.04
0.42,0.61,0.38,0.52,14,4,96.9,84.1,2,breathing,1,-0.01
0.34,0.29,0.19,0.7,17,4,71.3,1.2,2,two_minute_rule,0,-0.06
0.49,0.8,0.45,0.46,18,6,46.8,29.3,0,reframing,0,-0.07
0.49,0.96,0.7,0.58,16,1,31.7,4.4,1,breathing,1,-0.03
0.52,0.21,0.32,0.52,17,1,119.9,69.5,1,reframing,1,0.18
0.68,0.57,0.09,0.63,10,2,27.4,5.5,0,two_minute_rule,0,-0.1
0.78,0.53,0.07,0.73,16,6,85.5,45.7,1,two_minute_rule,1,-0.02
0.64,0.82,0.55,0.65,17,2,100.7,92.1,1,reframing,1,-0.02
